Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Conseil 1 (product.metafields.custom.conseil_1),Conseil 2 (product.metafields.custom.conseil_2),Conseil 3 (product.metafields.custom.conseil_3),Question FAQ 1 (product.metafields.custom.question_faq_1),Question FAQ 2 (product.metafields.custom.question_faq_2),Question FAQ 3 (product.metafields.custom.question_faq_3),Question FAQ 4 (product.metafields.custom.question_faq_4),Titre Comment jouer (product.metafields.custom.titre_comment_jouer),Titre FAQ (product.metafields.custom.titre_faq),Growave raw rating (product.metafields.growave.raw_rating_string),Growave rounded rating (product.metafields.growave.rounded_rating_string),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Nombre d’évaluations de produit (product.metafields.reviews.rating_count),Restrictions d’âge (product.metafields.shopify.age-restrictions),Caractéristiques du jeu de société (product.metafields.shopify.board-game-features),Mécanique du jeu de société (product.metafields.shopify.board-game-mechanics),Couleur (product.metafields.shopify.color-pattern),Compétences de dextérité (product.metafields.shopify.dexterity-skills),Type d’événement (product.metafields.shopify.event-type),Caractéristiques de jeu (product.metafields.shopify.game-features),Compétences de jeu (product.metafields.shopify.gameplay-skills),Rareté (product.metafields.shopify.rarity),Tranche d’âge recommandée (product.metafields.shopify.recommended-age-group),Thème (product.metafields.shopify.theme),Matériau du jeu/jouet (product.metafields.shopify.toy-game-material),Emballage de cartes à collectionner (product.metafields.shopify.trading-card-packaging),Produits complémentaires (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produits connexes (product.metafields.shopify--discovery--product_recommendation.related_products),Paramètres des produits connexes (product.metafields.shopify--discovery--product_recommendation.related_products_display),Mises en avant de produits dans la recherche (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
wondrous-creatures-extension-betes-gargantuesques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/wondrouscreaturesbetesgargantuesques2.jpg?v=1756485264,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wondrous-creatures,Wondrous Creatures,"<p data-start=""122"" data-end=""447"">Wondrous Creatures est un jeu de société immersif mêlant placement d’ouvriers et construction de tableau, dans lequel vous participez à la création de la première réserve mondiale de créatures fantastiques. Votre mission : collecter, combiner et mettre en valeur ces créatures pour bâtir la réserve la plus impressionnante.</p>
<p data-start=""449"" data-end=""800"">Son mécanisme unique de placement d’ouvriers sur deux cases permet d’interagir avec les icônes environnantes pour obtenir des ressources, piocher des cartes ou activer des effets spéciaux. À mesure que la partie progresse, des effets puissants se déploient sur la carte, transformant les terrains et permettant de déclencher des combos stratégiques.</p>
<p data-start=""802"" data-end=""1179"">Wondrous Creatures propose plus de 100 cartes de créatures différentes, chacune avec sa capacité propre, magnifiquement illustrée par Sophia Kang. La construction de tableau devient ainsi un élément central, offrant de multiples combinaisons et stratégies. Les ouvriers possèdent également des capacités évolutives qui se débloquent au fil du jeu, renforçant leur efficacité.</p>
<p data-start=""1181"" data-end=""1367"">Wondrous Creatures séduira les amateurs de jeux stratégiques, de collection et d’univers visuellement riches.</p>
<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 1 à 4 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">40 à 80 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">14 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3770023051880,2100.0,shopify,0,deny,manual,54.90,,true,true,,,,,'3770023051880,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/Wondrouscreaturesjeu.png?v=1756485265,1,"",false,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,prime,strategie; simulation-economique; placement-de-travailleurs,multicolore; vert,,,,reflexion-strategique; prise-de-decision-tactique,,13-18-ans,,papier-carton,,,,,,,kg,,,active
wondrous-creatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/wondrouscreaturesjeu2.png?v=1756485264,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wondrous-creatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/wondrouscreaturesjeu3.png?v=1756485264,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pagan-le-destin-de-roanoke,Pagan - Le Destin De Roanoke,"<p data-start=""139"" data-end=""494"">Pagan : Le Destin de Roanoke est un jeu de société de déduction asymétrique pour 2 joueurs, imaginé par Kasper Kjær Christiansen et Kåre Werner Storgaard. L’action se déroule dans l’Amérique coloniale du XVIe siècle, où une sorcière tente de mener à bien un puissant rituel tandis qu’un chasseur de sorcières enquête pour découvrir son identité secrète.</p>
<p data-start=""496"" data-end=""730"">Chaque joueur dispose d’un deck de 50 cartes et de multiples ressources pour atteindre son objectif. Le duel se joue sur un équilibre subtil entre bluff, stratégie et gestion des actions, offrant une expérience intense et immersive.</p>
<p data-start=""732"" data-end=""1012"">L’univers de la colonie perdue de Roanoke prend vie grâce aux illustrations de Maren Gutt, qui renforcent l’atmosphère mystérieuse et oppressante de ce face-à-face. Pagan : Le Destin de Roanoke est idéal pour les amateurs de jeux à deux, de déduction et d’affrontement tactique.</p>
<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 2 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">60 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">12 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3770023051101,1200.0,shopify,1,deny,manual,32.50,,true,true,,,,,'3770023051101,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/Paganjeu.jpg?v=1756485263,1,"",false,Acheter Pagan - Le Destin De Roanoke,,,,,,,,,,,,,,,,,,,,,,,,,,,extension-disponible,strategie; famille; aventure-et-voyage; echange-de-cartes; deduction-et-detectives,multicolore; noir,,,,reflexion-strategique; deduction; prise-de-decision-tactique,,12-ans-ou-plus,,papier-carton,,,,,,,kg,,,active
pagan-le-destin-de-roanoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/paganjeu2.png?v=1756485264,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pagan-le-destin-de-roanoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/paganjeu3.png?v=1756485264,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ark-nova,Ark Nova,"<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 1 à 4 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">90 à 120 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">14 ans et +</td>
</tr>
</tbody>
</table>
<p data-start=""122"" data-end=""463""><em data-start=""60"" data-end=""70"">Ark Nova</em> est un <strong data-start=""78"" data-end=""160""><a href=""https://shop.loufoque.fr/collections/jeux-de-societe-experts"">jeu de plateau expert</a> axé sur la gestion, la stratégie et la simulation de zoo</strong>, où chaque joueur conçoit et développe <strong data-start=""200"" data-end=""255"">un parc zoologique moderne et scientifiquement géré</strong>. Dans ce titre emblématique de <strong data-start=""287"" data-end=""303"">Super Meeple</strong>, vous devrez planifier vos actions, accueillir des animaux, construire des enclos, gagner le soutien de mécènes et soutenir des projets de conservation à l’échelle mondiale. Grâce à des mécaniques profondes de <strong data-start=""514"" data-end=""586"">gestion de main, de développement de moteur de jeu et d’optimisation</strong> des actions, chaque partie est un défi stratégique riche et immersif qui récompense la planification à long terme.</p>
<p data-start=""122"" data-end=""463""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bSvgCxXQktA?si=5ibAkAHmO31KYtfq"" title=""YouTube video player""></iframe></p>",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3770023051064,2500.0,shopify,1,deny,manual,68.90,,true,true,,,,,'3770023051064,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/arknova.png?v=1756485264,1,jeu de société ark nova,false,Ark Nova – Jeu expert de gestion et simulation de zoo,"Découvrez Ark Nova, un jeu expert de gestion de zoo moderne où vous construisez, optimisez et conciliez attractivité et conservation pour gagner.",,,,,,,,,,,,Planifiez vos actions long terme,Recherchez l’équilibre Attractivité/Conservation,Exploitez les synergies entre cartes,Qu’est-ce qui rend Ark Nova unique parmi les jeux de gestion ?,Quelle est la durée typique d’une partie ?,Le jeu propose-t-il une forte rejouabilité ?,Peut-on optimiser son score selon les objectifs ?,Comment jouer au jeu Ark Nova ?,FAQ – Tout savoir sur Ark Nova,0.0,0.0,,,,prime,strategie; simulation-economique,multicolore; vert,,,,reflexion-strategique,,13-18-ans,,papier-carton,,,,,,,kg,,,active
ark-nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/arknovajeu.png?v=1756485264,2,jeu expert ark nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ark-nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/arknovajeu2.png?v=1756485263,3,jeu de société expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-bataille-de-versailles,La Bataille De Versailles,"<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;"">2 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">30 à 45 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">14 ans et +</td>
</tr>
</tbody>
</table>
<p><!----></p>
<p><meta charset=""UTF-8""><span>Revivez un épisode méconnu mais décisif de l’Histoire avec </span><strong data-start=""118"" data-end=""147"">La Bataille de Versailles</strong><span>, un jeu de stratégie historique intense qui vous plonge au cœur des tensions politiques et militaires autour du célèbre château. Conçu pour les amateurs de wargames accessibles mais profonds, ce jeu met en scène des choix tactiques cruciaux, une forte asymétrie entre les camps et une immersion historique marquée. Chaque partie propose une relecture stratégique d’un affrontement où manœuvre, anticipation et prise de risque font toute la différence.</span></p>
<p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bM0azC9zt-g?si=WEhlV0b6T_J1WP9M"" title=""YouTube video player""></iframe></p>",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3760399130135,840.0,shopify,0,deny,manual,28.50,,true,true,,,,,'3760399130135,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/Labatailledeversailles.png?v=1756485263,1,"",false,La Bataille de Versailles – Jeu de stratégie historique,"Plongez dans La Bataille de Versailles, un jeu de stratégie historique asymétrique mêlant tactique, contrôle de zones et décisions cruciales.",,,,,,,,,,,,Exploitez l’asymétrie des camps,Contrôlez les zones stratégiques,Gérez vos cartes avec anticipation,Le jeu est-il fortement basé sur l’Histoire ?,S’agit-il d’un jeu très complexe ?,L’asymétrie est-elle équilibrée ?,La rejouabilité est-elle au rendez-vous ?,Comment jouer au jeu ?,FAQ – Tout savoir sur La Bataille de Versailles,,,,,,,strategie; simulation-de-guerre,multicolore; bleu,,,,reflexion-strategique; prise-de-decision-tactique,,13-18-ans,,papier-carton,,,,,,,kg,,,active
la-bataille-de-versailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/labatailledeversailles2.jpg?v=1756485263,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-bataille-de-versailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/labatailledeversaillesjeu.png?v=1756485263,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
celebration-des-mondiaux-2025,Célébration des Mondiaux 2025,"<p><span>Pour célébrer les World Championships, venez participer à un tournoi exclusif et remporter une carte promo spécifique à l'évènement !</span></p>
<ul>
<li><span>Date : Samedi 16 août de 14H00 à 17H00</span></li>
<li><span>Format : Tournoi Standard, Deck de 60 cartes, 4 rondes BO1 de 35 min chacune</span></li>
<li><span>Decklist obligatoire à l'entrée</span></li>
<li><span>PAF: 9€, limité à 8 joueurs</span></li>
<li>
<span>Récompenses :</span>
<ul>
<li>
<span>Une carte promo Célébration des Mondiaux 2025 par joueur</span><br>
</li>
<li><span>Top 1 : 4 packs récompenses série 6</span></li>
<li><span>Top 2 : 3 packs récompenses série 6</span></li>
<li><span>Top 3 : 2 packs récompenses série 6</span></li>
<li><span>Top 4 à 8 : 1 pack récompense série 6</span></li>
</ul>
</li>
</ul>
<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 4 à 8 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">~ 3h</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">8 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Arts & Entertainment > Event Tickets,"","2 à 4 joueurs, 20 minutes, 8 ans et +",false,Title,Default Title,,,,,,,,,250.0,shopify,8,deny,manual,9.00,,false,true,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/worldchampioshipspokemon.png?v=1756485262,1,"",false,,,499969,,,,,,,,,,,,,,,,,,,,,,,,tous-ages,installation-rapide,famille; strategie,rouge,,jeu-sportif,,concentration,,1-an-ou-plus,,papier-carton,paquet-de-booster,,,,,,kg,,,draft
dune-imperium-insurrection,Dune Imperium Insurrection,"<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 1 à 6 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">60 à 180 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">14 ans et +</td>
</tr>
</tbody>
</table>
<p data-start=""139"" data-end=""475""> </p>
<p data-start=""139"" data-end=""475""><strong data-start=""250"" data-end=""282"">Dune Imperium – Insurrection</strong> est une suite <em data-start=""297"" data-end=""311"">indépendante</em> du célèbre jeu de stratégie <em data-start=""340"" data-end=""355"">Dune Imperium</em>. Plongez dans l’univers épique de <em data-start=""390"" data-end=""396"">Dune</em>, où la lutte pour la planète Arrakis et l’Épice atteint un nouveau paroxysme. Tout en conservant les mécanismes intelligents de <strong data-start=""525"" data-end=""541"">deckbuilding</strong> et de <strong data-start=""548"" data-end=""572"">placement d’ouvriers</strong>, cette version apporte <strong data-start=""596"" data-end=""623"">de nouvelles mécaniques</strong>, de nombreux éléments stratégiques et un <strong data-start=""665"" data-end=""698"">mode à six joueurs en équipes</strong> inédit. Entre intrigues politiques, combats pour le contrôle des ressources et alliances temporaires, chaque partie est une bataille à la fois tactique et immersive.</p>
<p data-start=""1187"" data-end=""1263""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kfhkkojOWAs?si=W9u46z8wqKegbc9p"" title=""YouTube video player""></iframe></p>",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'5905965250116,2002.0,shopify,2,deny,manual,63.90,,true,true,,,,,'5905965250116,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/duneimperiumInsurrection.jpg?v=1756485262,1,Jeu de société dune insurrection,false,Dune Imperium – Insurrection : Stratégie et place d’ouvriers,"Dune Imperium – Insurrection : jeu de stratégie solo ou jusqu’à 6 joueurs avec espions, contrats et tactiques Fremen pour dominer Arrakis.",,,,,,,,,,,,Diversifiez vos sources de points,Maîtrisez l’utilisation des Espions,Exploitez les techniques Fremen,Ce jeu nécessite-t-il le Dune Imperium original ?,Combien de joueurs peuvent jouer ?,Le jeu est-il compatible avec d’autres extensions ?,Les Vers des Sables sont-ils centraux dans le gameplay ?,Comment jouer à Dune Imperium – Insurrection ?,FAQ – Tout savoir sur Dune Imperium – Insurrection,0.0,0.0,,,,,strategie; simulation-economique; construction-de-terrasse; simulation-de-guerre,multicolore; gris,,,,reflexion-strategique; prise-de-decision-tactique,,13-18-ans,,papier-carton,,,,,,,kg,,,active
dune-imperium-insurrection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/DuneImperiumInsurrection2.jpg?v=1756485263,2,dune imperium insurrection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dune-imperium-insurrection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/duneimperiuminsurrectionjeu.jpg?v=1756485261,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cascadia,Cascadia,"<p data-start=""139"" data-end=""418"">Cascadia est un jeu de société de placement de tuiles et de draft de jetons qui vous plonge au cœur des paysages et de la faune du Nord-Ouest Pacifique. À chaque tour, les joueurs construisent leur propre zone de terrain et y introduisent les animaux qui peuplent ces habitats.</p>
<p data-start=""420"" data-end=""669"">L’objectif est de créer un écosystème harmonieux et diversifié. Chaque espèce animale possède des préférences précises en matière de zones, et chaque habitat doit être positionné stratégiquement pour limiter la fragmentation et optimiser le score.</p>
<p data-start=""671"" data-end=""945"">Cascadia offre un puzzle évolutif en deux phases : placement des habitats et introduction progressive de la faune. Les joueurs marquent des points en créant les plus grands territoires continus pour chaque habitat, tout en respectant les objectifs spécifiques des espèces.</p>
<p data-start=""947"" data-end=""1084"">Accessible, immersif et élégant, Cascadia séduit autant les amateurs de jeux familiaux que les passionnés de réflexion et de stratégie.</p>
<p data-start=""1086"" data-end=""1162"">Disponible dès maintenant dans notre boutique en ligne de jeux de société.</p>
<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 1 à 4 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">30 à 45 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">10 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",false,Title,Default Title,,,,,,,,'787790591092,900.0,shopify,0,deny,manual,36.90,,true,true,,,,,'787790591092,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/cascadia.jpg?v=1756485262,1,"",false,Acheter Hutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,strategie; construction-de-terrasse; famille; jeu-par-arrangement,multicolore; animal,,,,reflexion-strategique; reconnaissance-de-formes,,10-ans-ou-plus; 8-ans-ou-plus,,papier-carton,,,,,,,kg,,,draft
cascadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/cascadia2.png?v=1756485262,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dossiers-criminels-les-fantomes-de-brandonsbury,Dossiers Criminels : Les fantömes de Brandonsbury,"<p data-end=""353"" data-start=""162"">Dossiers Criminels est une série de jeux d’enquête collaborative où les joueurs analysent des documents, recoupent des indices et résolvent des énigmes pour élucider des affaires complexes.</p>
<p data-end=""353"" data-start=""162"">Dans l’épisode Les Fantômes de Brandonsbury, Lydia et Robin Reed, deux touristes, sont retrouvés morts dans leur chambre au Gothic Tales, un hôtel réputé hanté dans le petit village britannique de Brandonsbury. Votre mission : remuer le passé, examiner chaque indice et percer le mystère.</p>
<p data-end=""992"" data-start=""647"">Ce dossier criminel contient plus de 40 documents variés : témoignages, rapports de la police scientifique, articles de presse, photographies de la scène de crime, ainsi que des contenus audio immersifs. En résolvant les énigmes, vous débloquerez progressivement 4 enveloppes contenant des preuves supplémentaires qui feront avancer l’enquête.</p>
<p data-end=""1168"" data-start=""994"">Un accès à internet est nécessaire pour consulter certaines ressources complémentaires. Pour éviter de rester bloqué, plusieurs niveaux d’indices sont disponibles en ligne.</p>
<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 1 à 6 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">120 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">14 ans et +</td>
</tr>
</tbody>
</table>
<p> </p>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3760363610144,538.0,shopify,0,deny,manual,27.90,,true,true,,,,,'3760363610144,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/dossiers-criminels-les-fantomes-de-brandonsbury.jpg?v=1761323621,1,Dossier criminel Brandonsbury boite de jeu,false,Dossiers Criminels – Les Fantômes de Brandonsbury : jeu d’enquête,"Enquête collaborative immersive : Dossiers Criminels – Les Fantômes de Brandonsbury. Analysez +40 documents, résolvez 4 enveloppes d’énigmes, 1-6 joueurs.",,,,,,,,,,,,Bien répartir les rôles dès le départ,Exploitez l’accès internet comme un outil stratégique,Envisagez des pistes secondaires,Peut-on le jouer seul ?,Y a-t-il des règles complexes à lire avant de commencer ?,Un accès internet est-il obligatoire ?,Le matériel est-il réutilisable ou à usage unique ?,Comment jouer à un jeu de la collection Dossier Criminel ?,FAQ – Tout savoir sur Dossiers Criminels,,,,,,extension-disponible,cooperative; deduction-et-detectives,rouge; multicolore; noir; marron,,,,deduction; reflexion-strategique,,13-18-ans,,papier-carton,,,,,,,kg,,,active
dossiers-criminels-les-fantomes-de-brandonsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/dossiers-criminels-les-fantomes-de-brandonsbury2.jpg?v=1761323621,2,Dossier criminel Brandonsbury verso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dossiers-criminels-les-fantomes-de-brandonsbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/dossiers-criminels-les-fantomes-de-brandonsbury3.jpg?v=1761323621,3,Dossier criminel Brandonsbury contenu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
splendor-le-soleil-ne-se-couche-jamais-extension,Splendor : Le Soleil Ne Se Couche Jamais - Extension,"<p data-start=""139"" data-end=""405"">Splendor : Le Soleil ne se couche jamais est une extension pour le célèbre jeu de société Splendor. Elle introduit deux nouveaux modules jouables séparément ou combinables avec d’autres modules et extensions de Splendor : le module Orient et le module Forteresses.</p>
<p data-start=""407"" data-end=""732"">Avec le module Orient, de nouvelles cartes apportent des stratégies inédites et une touche d’exotisme, attirant les mécènes les plus prestigieux. Le module Forteresses permet de placer vos forteresses pour sécuriser vos richesses, défendre votre territoire contre la concurrence et accélérer votre développement commercial.</p>
<p data-start=""734"" data-end=""1037"">Chaque module renouvelle les parties et intensifie la compétition entre les joueurs, tout en conservant la fluidité et la simplicité du jeu original. Vous pouvez choisir de jouer avec un seul module, de les combiner ensemble ou encore de les associer à d’autres extensions pour encore plus de variété.</p>
<p data-start=""1039"" data-end=""1232"">Splendor : Le Soleil ne se couche jamais est indispensable pour les amateurs du jeu de base souhaitant enrichir leur expérience avec de nouvelles mécaniques tactiques et plus de rejouabilité.</p>
<p data-start=""1234"" data-end=""1352"">Nécessite le jeu Splendor pour être joué. Disponible dès maintenant dans notre boutique en ligne de jeux de société.</p>
<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;"">2 à 4 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">45 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">10 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",false,Title,Default Title,,,,,,,,'3558380127451,310.0,shopify,0,deny,manual,13.50,,true,true,,,,,'3558380127451,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/Splendorlesoleilnesecouchejamaisextension.png?v=1756485264,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,extension-disponible,strategie; simulation-economique,multicolore; bleu,,,,reflexion-strategique; prise-de-decision-tactique,,10-ans-ou-plus,,papier-carton,,,,,,,kg,,,draft
